Id,Label ,Role,Based,artists,Basedlist,,,,,,,,,,,,,,,,
1,Sheck Wes,Artist,NE,Sheck Wes,NE,,,,,,,,,,,,1,47,1,,47
2,J.I.D.,Artist,S,J.I.D.,S,,,,,,,,,,,,2,47,1,,109
3,Ski Mask the Slump God,Artist,S,Ski Mask the Slump God,S,,,,,,,,,,,,3,47,1,,63
4,Cole Bennett,Director&Executive Producer,MW,Cole Bennett,MW,,,,,,,,,,,,4,47,1,,112
5,Daniyel,Song Producer,W,Daniyel,W,,,,,,,,,,,,5,47,1,,153
6,Marvy Ayy,Song Producer,NE,Marvy Ayy,NE,,,,,,,,,,,,6,47,1,,164
7,Car!ton ,Song Producer,MW,Car!ton ,MW,,,,,,,,,,,,7,47,1,,173
8,John Nocito,Song Producer,S,John Nocito,S,,,,,,,,,,,,8,47,1,,187
9,Jake Millan,Executive Producer,MW,Jake Millan,MW,,,,,,,,,,,,9,47,1,,219
10,Krista Worby,Head of Production,MW,Krista Worby,MW,,,,,,,,,,,,9,109,1,,246
11,Franklin Ricart,Director of Photography,No results,Franklin Ricart,No results,,,,,,,,,,,,10,47,1,,276
12,Cody Fusina,Production Designer,W,Cody Fusina,W,,,,,,,,,,,,11,47,1,,290
13,Max Colt,VFX Supervisor,W,Max Colt,W,,,,,,,,,,,,12,109,1,,311
14,Frender ,VFX ,W,Frender ,W,,,,,,,,,,,,12,47,1,,347
15,Reduciano ,3D Animation Sequence,W,Reduciano ,W,,,,,,,,,,,,13,47,1,,352
16,Aid6n,3D Animation Sequence,No results,Aid6n,No results,,,,,,,,,,,,14,47,1,,360
17,Josh Bohoskey,Color Grade,W,Josh Bohoskey,W,,,,,,,,,,,,15,47,1,,432
18,Daniel Keogh,Outro Font,W,Daniel Keogh,W,,,,,,,,,,,,16,47,1,,441
19,Michael Tursi,1st AC,W,Michael Tursi,W,,,,,,,,,,,,17,47,1,,446
20,Philip Huang,1nd AC,No results,Philip Huang,No results,,,,,,,,,,,,18,47,1,,448
21,Chris Corpuz,2st AC,W,Chris Corpuz,W,,,,,,,,,,,,19,47,1,,472
22,Joshua Montiel ,2nd AC,W,Joshua Montiel ,W,,,,,,,,,,,,20,47,1,,485
23,Renard Cheren,Steadicam,W,Renard Cheren,W,,,,,,,,,,,,21,47,1,,496
24,Chris Barrett,Camera Car Stunt Driver,No results,Chris Barrett,No results,,,,,,,,,,,,22,47,1,,518
25, Mykola Semenenko,UKRAINE Operator,No results, Mykola Semenenko,No results,,,,,,,,,,,,23,47,1,,532
26,Ricardo Equihualemus,Flight Head Tech,W,Ricardo Equihualemus,W,,,,,,,,,,,,24,47,1,,566
27,Babak Mansouri,Jib,W,Babak Mansouri,W,,,,,,,,,,,,25,47,1,,597
28,Sam Mcgrath,BTS,W,Sam Mcgrath,W,,,,,,,,,,,,26,47,1,,656
29,Kevin yr Cho,Gaffer,W,Kevin yr Cho,W,,,,,,,,,,,,27,47,1,,663
30,Jorge Hernandez,Gaffer,No results,Jorge Hernandez,No results,,,,,,,,,,,,28,47,1,,668
31,Christopher Oh ,BBE,No results,Christopher Oh ,No results,,,,,,,,,,,,29,47,1,,716
32,Sam Kim ,BBE,No results,Sam Kim ,No results,,,,,,,,,,,,30,47,1,,721
33,Zachary White ,Key Grip,No results,Zachary White ,No results,,,,,,,,,,,,31,47,1,,726
34,Camilo Godoy,Key Grip,No results,Camilo Godoy,No results,,,,,,,,,,,,32,47,1,,754
35,Chris Robertson,BBG,No results,Chris Robertson,No results,,,,,,,,,,,,33,47,1,,794
36,Mike Long,BBG,No results,Mike Long,No results,,,,,,,,,,,,34,47,1,,802
37,Emmett Tekstra,Set Decorators,W,Emmett Tekstra,W,,,,,,,,,,,,35,47,1,,812
38,Mitch Dillon ,Set Decorators,No results,Mitch Dillon ,No results,,,,,,,,,,,,36,47,1,,817
39,Aunna Kelly,Wardrobe,No results,Aunna Kelly,No results,,,,,,,,,,,,37,47,1,,862
40,Joseph Rocha,Assistant to Director,No results,Joseph Rocha,No results,,,,,,,,,,,,38,47,1,,864
41,Kelo,1st AD,No results,Kelo,No results,,,,,,,,,,,,39,47,1,,869
42,Jaron Flynn,Production Coordinator,W,Jaron Flynn,W,,,,,,,,,,,,40,47,1,,904
43,Thomas Parker,Production Assistants,No results,Thomas Parker,No results,,,,,,,,,,,,41,47,1,,944
44,Anton Sereda,Production Assistants,No results,Anton Sereda,No results,,,,,,,,,,,,42,47,1,,959
45,Malik Young,Production Assistants,No results,Malik Young,No results,,,,,,,,,,,,43,47,1,,976
46,Mario Jr Moran ,Medic,No results,Mario Jr Moran ,No results,,,,,,,,,,,,44,47,1,,991
47,Fly Away,Title,No results,Fly Away,No results,,,,,,,,,,,,45,47,1,,1005
48,Danny Towers,Artist,S,Danny Towers,S,,,,,,,,,,,,46,47,1,,1013
49,,Director,No results,PilotKid,NE,,,,,,,,,,,,4,63,1,,1027
50,PilotKid,Song Producer,NE,Michael Stine,W,,,,,,,,,,,,48,63,1,,1034
51,Michael Stine,Director of Photography,W,Xavier Thompson,W,,,,,,,,,,,,50,63,1,,1042
52,Xavier Thompson,Steadicam,W,Scissor Films,W,,,,,,,,,,,,51,63,1,,1049
53,Scissor Films,VFX,W,Fusina Designs,W,,,,,,,,,,,,52,63,1,,1053
54,Fusina Designs,Production Designer,W,Jake Brode,MW,,,,,,,,,,,,53,63,1,,1067
55,Jake Brode,Intro Card Titles,MW,Ronnie Gotch,W,,,,,,,,,,,,54,63,1,,1089
56,Ronnie Gotch,Gaffer ,W,Andrey Prikazchikov,W,,,,,,,,,,,,55,63,1,,1108
57,Andrey Prikazchikov,Key Grip,W,Alan Chavarria,W,,,,,,,,,,,,56,63,1,,1121
58,Alan Chavarria,1st AC ,W,Josh Brogogini,NW,,,,,,,,,,,,57,63,1,,1144
59,Josh Brogogini,2nd AC ,NW,Carla Michelle Johnson,W,,,,,,,,,,,,58,63,1,,1151
60,,Associate,No results, Sal Tarantino,MW,,,,,,,,,,,,59,63,1,,1168
61,Carla Michelle Johnson,Line Producer,W,What to do!,No results,,,,,,,,,,,,60,63,1,,1185
62, Sal Tarantino,Executive Produce,MW,Gus Dapperton,NE,,,,,,,,,,,,61,63,1,,1199
63,What to do!,Title,No results,Jacob Lincoln,W,,,,,,,,,,,,62,63,1,,1206
